"labels","vals"
"age_cat_coarse_(24,34]_sex_M_comm_type_inland_p_viremic_participant_visits","9.74"
"age_cat_coarse_(34,49]_sex_F_comm_type_fishing_n_viremic_participant_visits","2373"
"age_cat_coarse_(34,49]_sex_F_comm_type_fishing_p_viremic_participant_visits","3.1"
"age_cat_coarse_(34,49]_sex_F_comm_type_inland_n_viremic_participant_visits","10473"
"age_cat_coarse_(34,49]_sex_F_comm_type_inland_p_viremic_participant_visits","13.69"
"age_cat_coarse_(34,49]_sex_M_comm_type_fishing_n_viremic_participant_visits","3273"
"age_cat_coarse_(34,49]_sex_M_comm_type_fishing_p_viremic_participant_visits","4.28"
"age_cat_coarse_(34,49]_sex_M_comm_type_inland_n_viremic_participant_visits","8474"
"age_cat_coarse_(34,49]_sex_M_comm_type_inland_p_viremic_participant_visits","11.08"
"age_cat_coarse_(14,24]_sex_F_comm_type_fishing_n_phsc_participants","195"
"age_cat_coarse_(14,24]_sex_F_comm_type_fishing_p_phsc_participants","9.61"
"age_cat_coarse_(14,24]_sex_F_comm_type_inland_n_phsc_participants","118"
"age_cat_coarse_(14,24]_sex_F_comm_type_inland_p_phsc_participants","5.82"
"age_cat_coarse_(14,24]_sex_M_comm_type_fishing_n_phsc_participants","81"
"age_cat_coarse_(14,24]_sex_M_comm_type_fishing_p_phsc_participants","3.99"
"age_cat_coarse_(14,24]_sex_M_comm_type_inland_n_phsc_participants","37"
"age_cat_coarse_(14,24]_sex_M_comm_type_inland_p_phsc_participants","1.82"
"age_cat_coarse_(24,34]_sex_F_comm_type_fishing_n_phsc_participants","312"
"age_cat_coarse_(24,34]_sex_F_comm_type_fishing_p_phsc_participants","15.38"
"age_cat_coarse_(24,34]_sex_F_comm_type_inland_n_phsc_participants","209"
"age_cat_coarse_(24,34]_sex_F_comm_type_inland_p_phsc_participants","10.3"
"age_cat_coarse_(24,34]_sex_M_comm_type_fishing_n_phsc_participants","366"
"age_cat_coarse_(24,34]_sex_M_comm_type_fishing_p_phsc_participants","18.04"
"age_cat_coarse_(24,34]_sex_M_comm_type_inland_n_phsc_participants","165"
"age_cat_coarse_(24,34]_sex_M_comm_type_inland_p_phsc_participants","8.13"
"age_cat_coarse_(34,49]_sex_F_comm_type_fishing_n_phsc_participants","108"
"age_cat_coarse_(34,49]_sex_F_comm_type_fishing_p_phsc_participants","5.32"
"age_cat_coarse_(34,49]_sex_F_comm_type_inland_n_phsc_participants","90"
"age_cat_coarse_(34,49]_sex_F_comm_type_inland_p_phsc_participants","4.44"
"age_cat_coarse_(34,49]_sex_M_comm_type_fishing_n_phsc_participants","225"
"age_cat_coarse_(34,49]_sex_M_comm_type_fishing_p_phsc_participants","11.09"
"age_cat_coarse_(34,49]_sex_M_comm_type_inland_n_phsc_participants","123"
"age_cat_coarse_(34,49]_sex_M_comm_type_inland_p_phsc_participants","6.06"
"n_base_base_simulated_samples","2,000"
"base_base_logit_prob_mi_baseline_percent","-294.443897916644"
"base_base_fit_logit_prob_mi_baseline_median_percent","-292.36"
"base_base_fit_logit_prob_mi_baseline_lower_percent","-313.3"
"base_base_fit_logit_prob_mi_baseline_upper_percent","-271.16"
"base_base_fit_prob_mi_median_percent","5.1"
"base_base_fit_prob_mi_lower_percent","4.12"
"base_base_fit_prob_mi_upper_percent","6.15"
"base_base_fit_prob_mi_median_percent_int","5"
"base_base_logit_prob_seq_baseline","2"
"base_base_fit_logit_prob_seq_baseline_median","1.99"
"base_base_fit_logit_prob_seq_baseline_lower","1.93"
"base_base_fit_logit_prob_seq_baseline_upper","2.05"
"base_base_fit_logit_prob_seq_baseline_bulk_ess","1825.16"
"base_base_fit_logit_prob_seq_baseline_tail_ess","2696.13"
"base_base_fit_logit_prob_seq_baseline_rhat","1"
"base_base_logit_prob_seq_coeffs1","2"
"base_base_fit_logit_prob_seq_coeffs1_median","2.02"
"base_base_fit_logit_prob_seq_coeffs1_lower","1.95"
"base_base_fit_logit_prob_seq_coeffs1_upper","2.09"
"base_base_fit_logit_prob_seq_coeffs1_bulk_ess","1640.83"
"base_base_fit_logit_prob_seq_coeffs1_tail_ess","3180.42"
"base_base_fit_logit_prob_seq_coeffs1_rhat","1"
"base_base_logit_prob_seq_ind_sd","1"
"base_base_fit_logit_prob_seq_ind_sd_median","1"
"base_base_fit_logit_prob_seq_ind_sd_lower","0.95"
"base_base_fit_logit_prob_seq_ind_sd_upper","1.05"
"base_base_fit_logit_prob_seq_ind_sd_bulk_ess","2214"
"base_base_fit_logit_prob_seq_ind_sd_tail_ess","3845.32"
"base_base_fit_logit_prob_seq_ind_sd_rhat","1"
"base_base_logit_prob_mi_baseline","-2.94"
"base_base_fit_logit_prob_mi_baseline_median","-2.92"
"base_base_fit_logit_prob_mi_baseline_lower","-3.13"
"base_base_fit_logit_prob_mi_baseline_upper","-2.71"
"base_base_fit_logit_prob_mi_baseline_bulk_ess","9297.7"
"base_base_fit_logit_prob_mi_baseline_tail_ess","5380.48"
"base_base_fit_logit_prob_mi_baseline_rhat","1"
"base_base_n_participant_visits","1,986"
"n_full_base_simulated_samples","2,000"
"full_base_logit_prob_mi_baseline_percent","-294.443897916644"
"full_base_fit_logit_prob_mi_baseline_median_percent","-101.76"
"full_base_fit_logit_prob_mi_baseline_lower_percent","-112.39"
"full_base_fit_logit_prob_mi_baseline_upper_percent","-91.6"
"full_base_fit_prob_mi_median_percent","26.55"
"full_base_fit_prob_mi_lower_percent","24.53"
"full_base_fit_prob_mi_upper_percent","28.58"
"full_base_fit_prob_mi_median_percent_int","27"
"full_base_logit_prob_seq_baseline","2"
"full_base_fit_logit_prob_seq_baseline_median","1.2"
"full_base_fit_logit_prob_seq_baseline_lower","1.13"
"full_base_fit_logit_prob_seq_baseline_upper","1.28"
"full_base_fit_logit_prob_seq_baseline_bulk_ess","958.69"
"full_base_fit_logit_prob_seq_baseline_tail_ess","1904.79"
"full_base_fit_logit_prob_seq_baseline_rhat","1"
"full_base_logit_prob_seq_coeffs1","2"
"full_base_fit_logit_prob_seq_coeffs1_median","1.39"
"full_base_fit_logit_prob_seq_coeffs1_lower","1.31"
"full_base_fit_logit_prob_seq_coeffs1_upper","1.47"
"full_base_fit_logit_prob_seq_coeffs1_bulk_ess","1073.17"
"full_base_fit_logit_prob_seq_coeffs1_tail_ess","2266.37"
"full_base_fit_logit_prob_seq_coeffs1_rhat","1"
"full_base_logit_prob_seq_ind_sd","1"
"full_base_fit_logit_prob_seq_ind_sd_median","1.51"
"full_base_fit_logit_prob_seq_ind_sd_lower","1.45"
"full_base_fit_logit_prob_seq_ind_sd_upper","1.57"
"full_base_fit_logit_prob_seq_ind_sd_bulk_ess","4099.54"
"full_base_fit_logit_prob_seq_ind_sd_tail_ess","4610.11"
"full_base_fit_logit_prob_seq_ind_sd_rhat","1"
"full_base_logit_prob_mi_baseline","-2.94"
"full_base_fit_logit_prob_mi_baseline_median","-1.02"
"full_base_fit_logit_prob_mi_baseline_lower","-1.12"
"full_base_fit_logit_prob_mi_baseline_upper","-0.92"
"full_base_fit_logit_prob_mi_baseline_bulk_ess","13116.56"
"full_base_fit_logit_prob_mi_baseline_tail_ess","4937.73"
"full_base_fit_logit_prob_mi_baseline_rhat","1"
"full_base_n_participant_visits","1,986"
"n_full_full_simulated_samples","2,000"
"full_full_logit_prob_mi_baseline_percent","-294.443897916644"
"full_full_fit_logit_prob_mi_baseline_median_percent","-290.63"
"full_full_fit_logit_prob_mi_baseline_lower_percent","-312.31"
"full_full_fit_logit_prob_mi_baseline_upper_percent","-270.34"
"full_full_logit_prob_mi_fpr_percent","-460"
"full_full_fit_logit_prob_mi_fpr_median_percent","-450.79"
"full_full_fit_logit_prob_mi_fpr_lower_percent","-460.15"
"full_full_fit_logit_prob_mi_fpr_upper_percent","-441.23"
"full_full_logit_prob_mi_fnr_percent","-85"
"full_full_fit_logit_prob_mi_fnr_median_percent","-75.66"
"full_full_fit_logit_prob_mi_fnr_lower_percent","-87.53"
"full_full_fit_logit_prob_mi_fnr_upper_percent","-63.4"
"full_full_prob_mi_fpr_percent","1"
"full_full_fit_prob_mi_fpr_median_percent","1.09"
"full_full_fit_prob_mi_fpr_lower_percent","0.99"
"full_full_fit_prob_mi_fpr_upper_percent","1.19"
"full_full_prob_mi_fnr_percent","30"
"full_full_fit_prob_mi_fnr_median_percent","31.94"
"full_full_fit_prob_mi_fnr_lower_percent","29.41"
"full_full_fit_prob_mi_fnr_upper_percent","34.66"
"full_full_fit_prob_mi_median_percent","5.18"
"full_full_fit_prob_mi_lower_percent","4.2"
"full_full_fit_prob_mi_upper_percent","6.25"
"full_full_fit_prob_mi_median_percent_int","5"
"full_full_logit_prob_seq_baseline","2"
"full_full_fit_logit_prob_seq_baseline_median","1.99"
"full_full_fit_logit_prob_seq_baseline_lower","1.93"
"full_full_fit_logit_prob_seq_baseline_upper","2.05"
"full_full_fit_logit_prob_seq_baseline_bulk_ess","4202.98"
"full_full_fit_logit_prob_seq_baseline_tail_ess","6050.69"
"full_full_fit_logit_prob_seq_baseline_rhat","1"
"full_full_logit_prob_seq_coeffs1","2"
"full_full_fit_logit_prob_seq_coeffs1_median","2.03"
"full_full_fit_logit_prob_seq_coeffs1_lower","1.96"
"full_full_fit_logit_prob_seq_coeffs1_upper","2.1"
"full_full_fit_logit_prob_seq_coeffs1_bulk_ess","4512.33"
"full_full_fit_logit_prob_seq_coeffs1_tail_ess","5180.9"
"full_full_fit_logit_prob_seq_coeffs1_rhat","1"
"full_full_logit_prob_seq_ind_sd","1"
"full_full_fit_logit_prob_seq_ind_sd_median","1"
"full_full_fit_logit_prob_seq_ind_sd_lower","0.95"
"full_full_fit_logit_prob_seq_ind_sd_upper","1.05"
"full_full_fit_logit_prob_seq_ind_sd_bulk_ess","3415.45"
"full_full_fit_logit_prob_seq_ind_sd_tail_ess","5123.79"
"full_full_fit_logit_prob_seq_ind_sd_rhat","1"
"full_full_logit_prob_mi_baseline","-2.94"
"full_full_fit_logit_prob_mi_baseline_median","-2.91"
"full_full_fit_logit_prob_mi_baseline_lower","-3.12"
"full_full_fit_logit_prob_mi_baseline_upper","-2.7"
"full_full_fit_logit_prob_mi_baseline_bulk_ess","13924.79"
"full_full_fit_logit_prob_mi_baseline_tail_ess","4653.77"
"full_full_fit_logit_prob_mi_baseline_rhat","1"
"full_full_logit_prob_mi_fpr","-4.6"
"full_full_fit_logit_prob_mi_fpr_median","-4.51"
"full_full_fit_logit_prob_mi_fpr_lower","-4.6"
"full_full_fit_logit_prob_mi_fpr_upper","-4.41"
"full_full_fit_logit_prob_mi_fpr_bulk_ess","17064.32"
"full_full_fit_logit_prob_mi_fpr_tail_ess","5663.25"
"full_full_fit_logit_prob_mi_fpr_rhat","1"
"full_full_logit_prob_mi_fnr","-0.85"
"full_full_fit_logit_prob_mi_fnr_median","-0.76"
"full_full_fit_logit_prob_mi_fnr_lower","-0.88"
"full_full_fit_logit_prob_mi_fnr_upper","-0.63"
"full_full_fit_logit_prob_mi_fnr_bulk_ess","12502.11"
"full_full_fit_logit_prob_mi_fnr_tail_ess","6193.21"
"full_full_fit_logit_prob_mi_fnr_rhat","1"
"full_full_n_participant_visits","1,986"
"n_ext_ext_simulated_samples","2,000"
"ext_ext_logit_prob_mi_baseline_percent","-294.443897916644"
"ext_ext_fit_logit_prob_mi_baseline_median_percent","-258.09"
"ext_ext_fit_logit_prob_mi_baseline_lower_percent","-277.54"
"ext_ext_fit_logit_prob_mi_baseline_upper_percent","-239.72"
"ext_ext_logit_prob_mi_fpr_percent","-460"
"ext_ext_fit_logit_prob_mi_fpr_median_percent","-455.07"
"ext_ext_fit_logit_prob_mi_fpr_lower_percent","-464.87"
"ext_ext_fit_logit_prob_mi_fpr_upper_percent","-445.45"
"ext_ext_logit_prob_mi_fnr_percent","-85"
"ext_ext_fit_logit_prob_mi_fnr_median_percent","-71.49"
"ext_ext_fit_logit_prob_mi_fnr_lower_percent","-80.73"
"ext_ext_fit_logit_prob_mi_fnr_upper_percent","-61.98"
"ext_ext_prob_mi_fpr_percent","1"
"ext_ext_fit_prob_mi_fpr_median_percent","1.04"
"ext_ext_fit_prob_mi_fpr_lower_percent","0.95"
"ext_ext_fit_prob_mi_fpr_upper_percent","1.15"
"ext_ext_prob_mi_fnr_percent","30"
"ext_ext_fit_prob_mi_fnr_median_percent","32.85"
"ext_ext_fit_prob_mi_fnr_lower_percent","30.82"
"ext_ext_fit_prob_mi_fnr_upper_percent","34.95"
"ext_ext_fit_prob_mi_median_percent","7.39"
"ext_ext_fit_prob_mi_lower_percent","6.21"
"ext_ext_fit_prob_mi_upper_percent","8.64"
"ext_ext_fit_prob_mi_median_percent_int","7"
"ext_ext_logit_prob_seq_baseline","2"
"ext_ext_fit_logit_prob_seq_baseline_median","2"
