name	median	lower	upper	bulk_ess	tail_ess	rhat	idx	id
logit_prob_seq_ind[376]	-0.3656385	-1.09229	0.34781	9789.303702125097	5163.700430046691	1.0004008778214306	376	376
logit_prob_seq_ind[377]	0.6341165	-0.545412	1.91177	10591.201080981788	4645.356068520076	0.9998956042022721	377	377
logit_prob_seq_ind[378]	0.09864890000000001	-1.55592	2.0784	10445.534270523134	5073.166470766676	0.999927816997641	378	378
logit_prob_seq_ind[379]	0.0411971	-1.98555	1.942	14189.560311560948	5176.173031312113	0.9998757295823292	379	379
logit_prob_seq_ind[37]	-0.946501	-1.6697	-0.255341	11671.993335915044	5170.680417502861	1.0002924631860506	37	37
logit_prob_seq_ind[380]	0.5849690000000001	-0.139939	1.30381	10132.06061828456	5073.013916596314	0.9999772801882194	380	380
logit_prob_seq_ind[381]	0.247912	-1.07842	1.62637	11390.148737557485	5158.753856021115	1.0006165273820407	381	381
logit_prob_seq_ind[382]	-0.5159555	-2.10555	1.10505	10828.942018989761	5972.917260889062	1.0003897677928808	382	382
logit_prob_seq_ind[383]	1.048535	-0.0339213	2.28908	12264.074729706246	4593.21406852388	0.999930509507898	383	383
logit_prob_seq_ind[384]	-0.790117	-1.54326	-0.0569806	12217.823848197046	5467.4785653781955	1.0003025522995517	384	384
logit_prob_seq_ind[385]	0.608127	-0.386893	1.5724	12851.25193381259	4924.314871072811	1.0000244071237199	385	385
logit_prob_seq_ind[386]	0.6743015	-0.74	2.25688	11730.59203516343	5084.495680303617	1.0004565140034134	386	386
logit_prob_seq_ind[387]	-0.5412980000000001	-2.17404	1.13363	11771.126347330048	5329.480838712206	1.0018084587437421	387	387
logit_prob_seq_ind[388]	0.5979595	-0.869508	2.19006	10839.811648268502	4999.431344601711	0.9999939652382605	388	388
logit_prob_seq_ind[389]	0.405799	-0.811565	1.79952	9819.830809277575	5054.7729448696955	1.0003415701593115	389	389
logit_prob_seq_ind[38]	0.9019845	0.143802	1.71139	11943.170444903028	5979.432274513518	0.9998866838742763	38	38
logit_prob_seq_ind[390]	-0.50882	-1.23571	0.293469	12081.175121315653	5359.360643820631	1.0002142301666812	390	390
